date,tweet_count
2025-07-02,15290
2025-07-04,14608
2025-07-11,10910
2025-06-13,9592
2025-03-17,8731
2025-07-10,8291
2025-05-29,8099
2025-07-16,7407
2025-05-09,7345
2025-06-27,7225
2025-07-20,7129
2025-03-16,6698
2025-03-26,6620
2025-07-13,6483
2025-03-13,6438
2025-07-21,6261
2025-06-11,6218
2025-03-27,6102
2025-05-01,6045
2025-07-22,5938
2025-06-09,5856
2025-05-21,5815
2025-05-28,5804
2025-05-27,5752
2025-06-02,5719
2025-06-10,5684
2025-06-08,5576
2025-03-20,5535
2025-07-17,5503
2025-03-28,5479
2025-06-21,5471
2025-07-15,5418
2025-06-20,5406
2025-04-23,5319
2025-07-18,5181
2025-05-18,5016
2025-07-23,4922
2025-04-12,4818
2025-07-29,4591
2025-04-14,4588
2025-05-24,4566
2025-05-26,4486
2025-05-06,4308
2025-07-06,4246
2025-04-18,4241
2025-04-16,4204
2025-05-05,4202
2025-07-03,4131
2025-04-21,3998
2025-03-11,3978
2025-06-28,3976
2025-06-26,3966
2025-04-29,3953
2025-04-15,3926
2025-06-06,3816
2025-05-31,3773
2025-06-04,3279
2025-04-20,3265
2025-06-07,3200
2025-07-27,3195
2025-05-10,3010
2025-07-08,3004
2025-05-08,2870
2025-05-02,2700
2025-05-11,2576
2025-02-03,2506
2025-07-26,2470
2025-05-17,2470
2025-04-13,2410
2025-02-08,2352
2025-07-12,2349
2025-06-29,2221
2025-07-14,2178
2025-02-05,2133
2025-02-17,2104
2025-02-26,2064
2025-02-09,2063
2025-02-10,2035
2025-02-24,2013
2025-03-03,1975
2025-04-24,1939
2025-03-12,1934
2025-06-19,1934
2025-04-06,1844
2025-03-07,1827
2025-02-27,1803
2025-04-09,1797
2025-03-19,1741
2025-06-22,1706
2025-04-04,1618
2025-03-08,1583
2025-04-11,1581
2025-04-02,1577
2025-04-28,1518
2025-05-04,1465
2025-03-09,1446
2025-06-18,1429
2025-02-15,1414
2025-04-05,1398
2025-04-03,1365
2025-06-14,1348
2025-05-07,1336
2025-02-01,1331
2025-04-25,1310
2025-02-21,1226
2025-03-02,1138
2025-07-25,878
2025-05-12,872
2025-06-24,836
2025-04-22,829
2025-05-14,770
2025-02-07,763
2025-07-07,742
2025-04-07,730
2025-02-20,723
2025-02-23,720
2025-07-31,707
2025-06-17,638
2025-05-16,607
2025-03-24,557
2025-03-05,527
2025-03-18,516
2025-03-22,508
2025-05-15,462
2025-07-30,432
2025-03-06,407
2025-02-06,390
2025-02-04,385
2025-02-18,380
2025-04-27,376
2025-04-01,359
2025-05-30,318
2025-06-05,296
2025-06-25,258
2025-05-20,200
2025-02-13,184
2025-03-29,157
2025-04-26,119
2025-06-16,97
2025-02-11,76
2025-06-23,57
