date,tweet_count
2025-01-18,63427
2025-01-24,9083
2025-02-01,5516
2025-04-23,4910
2025-02-07,3988
2025-02-18,3859
2025-02-17,3603
2025-01-23,3549
2025-06-06,3277
2025-03-04,2956
2025-03-23,2874
2025-02-27,2864
2025-02-25,2859
2025-01-22,2798
2025-06-03,2671
2025-04-25,2620
2025-04-10,2597
2025-02-08,2434
2025-04-09,2386
2025-02-09,2282
2025-03-07,2210
2025-05-07,2040
2025-05-06,2017
2025-02-24,1929
2025-03-10,1817
2025-06-05,1678
2025-02-05,1623
2025-02-02,1612
2025-05-04,1601
2025-05-29,1586
2025-04-16,1561
2025-04-03,1493
2025-03-25,1459
2025-05-01,1457
2025-01-25,1444
2025-05-26,1434
2025-04-02,1427
2025-03-08,1411
2025-04-17,1409
2025-04-04,1398
2025-03-05,1392
2025-02-14,1353
2025-04-19,1319
2025-03-17,1249
2025-03-09,1237
2025-03-19,1183
2025-05-31,1168
2025-04-05,1155
2025-04-26,1136
2025-03-14,1133
2025-02-26,1029
2025-02-03,1019
2025-05-22,1004
2025-03-16,976
2025-02-16,971
2025-04-08,971
2025-06-09,960
2025-04-14,950
2025-05-28,866
2025-04-29,813
2025-04-28,805
2025-02-06,788
2025-03-20,741
2025-02-20,727
2025-02-19,710
2025-05-03,709
2025-02-13,708
2025-03-18,704
2025-05-16,703
2025-03-21,701
2025-01-19,673
2025-02-10,648
2025-05-11,586
2025-03-11,563
2025-05-13,560
2025-07-05,554
2025-02-22,526
2025-03-30,502
2025-05-14,474
2025-01-20,468
2025-05-30,442
2025-05-15,398
2025-05-24,379
2025-03-13,374
2025-02-28,315
2025-05-25,310
2025-03-22,300
2025-03-02,296
2025-05-17,294
2025-06-08,289
2025-07-15,271
2025-01-31,265
2025-07-02,255
2025-04-27,250
2025-05-21,248
2025-05-19,247
2025-07-24,225
2025-06-16,221
2025-07-17,215
2025-07-19,170
2025-07-26,160
2025-07-25,157
2025-04-24,148
2025-07-14,146
2025-06-21,138
2025-03-28,133
2025-01-26,114
2025-07-28,112
2025-06-12,108
2025-06-02,103
2025-06-10,96
2025-03-12,96
2025-07-16,94
2025-06-07,68
2025-02-21,62
2025-04-13,60
2025-02-12,54
2025-04-18,53
2025-02-11,52
2025-06-14,47
2025-06-17,40
2025-04-20,39
2025-04-22,37
2025-07-10,30
2025-06-24,28
2025-07-23,26
2025-06-15,24
2025-06-30,24
2025-06-28,23
2025-06-13,20
2025-07-04,19
2025-07-09,18
2025-07-21,18
2025-04-06,17
2025-04-21,16
2025-07-22,15
2025-06-25,15
2025-06-01,15
2025-07-20,15
2025-05-18,14
2025-01-28,13
2025-06-27,11
2025-06-22,10
2025-07-18,8
2025-03-29,7
2025-06-11,7
2025-04-07,6
2025-01-29,5
2025-04-12,2
2025-07-30,2
2025-07-11,2
2025-07-03,1
2025-07-29,1
2025-04-11,1
