user_account,days_over_50_tweets,days_hour_ge_6_tweets,total_days_over_limit
$PESHI,0,3,3
$crypto world,0,1,1
.Muhammad Muzammil,0,1,1
0Philjones,6,21,27
0Philjons,15,31,46
0___0pepe,0,1,1
0_source,0,4,4
0cyKyw7kiPtYyQ4,0,1,1
0xBAWLS,0,1,1
0xDixon,0,1,1
0xFilipko23,0,1,1
0xHamadav,0,1,1
0xPepe91,2,10,12
0xRHEMA,0,1,1
0xRekt,0,2,2
0xSyfer,0,1,1
0xVinceSkye,0,1,1
0xdeadskel,0,1,1
1000XCryptoBull,0,1,1
100xBullish,0,1,1
10xDemonSol,0,1,1
131pepe69,1,8,9
13thElement_,0,2,2
14WEBBONSO,0,1,1
1558ducky,0,2,2
16DURANS,0,2,2
1995,0,1,1
1BEASTonX,0,3,3
1Caffinefiend,0,1,1
1CrYptoTv,0,2,2
1DegenPepe,2,6,8
1nsomniaa,0,1,1
24Alubarika2093,0,2,2
27Munoz,0,1,1
2W3IRD,0,2,2
2v987b6c6x,0,1,1
30bussinessnews,0,1,1
3Strynar,0,1,1
420PulseDogge,0,1,1
420pepeleo,0,1,1
4x2vn7gpyn,0,1,1
5555521H,0,1,1
55Domains,0,1,1
631klo,0,1,1
63mercs,0,1,1
74_GSNaidu,0,1,1
777777_Tony,0,1,1
808_PEPE,0,1,1
812ape,0,1,1
818Kimi70891,0,1,1
8bit_pizza,0,2,2
99Kaden,0,1,1
@attraveler,0,1,1
AAsma54632,0,1,1
ABU PEPE COIN,0,1,1
ACCURATE_TIPS2,0,2,2
ADVIK_SIGNALS,0,11,11
AIRewardrop,0,1,1
AI_Meme_Intern,0,2,2
AKplumber907,0,1,1
ALBERTO_ALARIDO,0,1,1
ALICEterminal,1,5,6
ALIENPING0,0,1,1
ALPHA_GH0ST7,4,8,12
ANDREWguarino,0,2,2
APEX_FUTURE1,0,1,1
ASH_CHET,0,1,1
ASXHustle,0,2,2
ATDHOT,0,1,1
Aaron,0,1,1
AaronCr74841425,0,1,1
AaronJames7211,0,1,1
AaryavartaPutra,0,2,2
Abc925681695929,0,3,3
Abdurahmanphew,0,5,5
Abes_86,0,3,3
AbsoluteLeeUK,0,1,1
Ace_6969_,0,1,1
AchieverD83137,0,1,1
AdamBennet0,0,1,1
Adambak22324050,0,1,1
Addison🐸🔱,0,1,1
Ade_Xm,0,2,2
Adethereplyguy,0,1,1
Adipatiawan10,0,1,1
AdiugriP,0,1,1
Adog1992,0,1,1
AdolfAlbrechtz,0,1,1
Adooli,0,1,1
Agamemnon29,0,1,1
AgentJ61780559,0,1,1
AgsDcl406,0,1,1
AhmadrezaR20640,0,1,1
AhmedOnBitcoin,0,1,1
Ahmedok07634779,0,1,1
Aiden 🇮🇪☘️ KGeN,0,1,1
AkhtiarMir58304,0,1,1
AlMutai83606,0,2,2
AlShvan1,0,1,1
AlanGarnerCrypt,0,1,1
Albert Free Signals,0,1,1
Albert Mackey,5,18,23
Albert_Mackey5,4,19,23
Albertshik,0,1,1
Alchemist,0,1,1
AlchemistOG69,2,16,18
AlchemistTheOG,2,22,24
AleartsBan15622,0,3,3
AleksKot91,0,1,1
Alew_us,0,4,4
Alex crypto📊📉📈,0,1,1
AlexBurral83260,0,1,1
AlexLeeHQ,0,1,1
AlexV41133483,0,1,1
AlexWilliam421,0,1,1
Alexanderkrypt,0,1,1
Alexandra99959,0,3,3
Alexrunoff,0,1,1
AliceBlockland,0,1,1
AllajuneCrypto,0,19,19
AllanKirkhart,1,4,5
AllanWylieSport,0,1,1
Allen75459568,0,1,1
AllenPepe,0,7,7
AlphaPlays30,0,1,1
AlphaRoarX_,0,1,1
AltCryptoGems,0,1,1
AltcoinMage,2,2,4
Altcointim,0,1,1
AlvaApp,0,1,1
AlyoshaDotCom,0,1,1
AmA.sol,0,1,1
Amadeuss1977,0,1,1
AmberRasmussen,0,1,1
Amenouboy,0,1,1
AmiePepeFren420,0,1,1
AmjadAli1324493,0,1,1
AmosT333,0,1,1
AmyDiGi,0,6,6
AmyQueenofMars,0,1,1
Andressa,0,1,1
Andrew_1Blake,0,8,8
Andriishak95,0,1,1
Angeliki_BTC,0,4,4
Angelo_jonz,0,3,3
Angelojazs,0,7,7
AnkitJain_Ton,0,1,1
Anna Roberts,0,1,1
AnnieOldenough,0,2,2
Annna9667728145,0,1,1
AnonkekPepe,0,3,3
AnumnuSamuel,0,5,5
AnyaNabila966,0,4,4
Apnangx,0,1,1
Apollo_move,0,1,1
Apollopixel,0,1,1
AprilSaldivar17,0,1,1
ApuShroomCycle,0,1,1
Aranuiiiii,0,1,1
ArchaicMachine,0,1,1
Ares_PepeWizard,1,5,6
AriasBeret96828,0,6,6
Ariya_963,1,1,2
Armheid,0,1,1
ArneSwe58,0,1,1
Arsua4,1,3,4
ArtHumanitarian,0,1,1
ArtZofu,0,1,1
ArtsOfDoge,0,1,1
AshlyPepe,0,1,1
AsifAli359849,0,1,1
AskPerplexity,0,1,1
AssetPilot_,0,1,1
AssetsNorris,0,1,1
Astro Pump,0,1,1
Astro trader,0,1,1
AugustKrypt,0,1,1
Aurelia_fx,0,1,1
AuroraHFAI,0,1,1
Austin_fx4,0,1,1
Auwalshakur369,0,1,1
AwakeGermany,0,1,1
AzmirRyan,0,1,1
BALEARICGOLF,0,2,2
BAP_Token,0,3,3
BASED_GOYIMSS,0,3,3
BEASTMODECRYPTO,0,1,1
BENLOG001 ON TELEGRAM,0,2,2
BEN_CRYPTOQ,3,17,20
BEWARETHEJOOS,0,1,1
BFloDAnju,0,1,1
BICHON_FUN,1,1,2
BJSEnterprises,0,1,1
BMs,1,10,11
BOOE_BOTO,0,1,1
BOPPY ARMY 🟨🦇,0,1,1
BPCRYPTO11,0,1,1
BRAIN__LET,0,1,1
BROBERSON6908,0,1,1
BSE Meme,0,1,1
BTCBULLTokenOSP,0,2,2
BTCTraderPaul,0,1,1
BTSE_Official,0,1,1
BagwisSteve,0,3,3
Baki,0,1,1
BalaBukar70285,0,2,2
BanjoAtheist,0,1,1
BankyMMx,0,1,1
Bannerzz1,1,11,12
Bartholomew1981,0,1,1
BaseGirl_25,0,1,1
BaseMemeZone,0,1,1
BasedAgentPepe,0,1,1
BasedFrogeth,0,1,1
BasedRaider20,0,2,2
Basedegencrypto,0,1,1
Batman,0,1,1
BatpeonSol,0,1,1
BayernNewsw,0,1,1
BeamWeb3,0,1,1
BeaverQ17,0,2,2
BenJesse811,0,2,2
Ben_crypto0147,0,1,1
Ben_mikey9,2,9,11
BenjaminMfon1,0,1,1
Bentley_Nero,0,2,2
Beth_Tastic,0,1,1
Bethfelli,0,3,3
BetsAtWallSt,0,1,1
Between2Cryptos,0,1,1
BigAruta001,0,1,1
BigJer2299,0,1,1
BigJim52561391,0,2,2
Bigazz_Pepe,0,10,10
BigboyTomarne69,0,1,1
BiggleSwiggled,0,1,1
BijonR98896,0,1,1
BinanceStuff,0,2,2
Binancefutur,0,1,1
BirdDogGod,0,1,1
BismarckPepe,0,1,1
Biswas shouvo,0,1,1
Bitbro88,0,1,1
BitcoinPepe_,0,4,4
BitcoinisLove3,0,1,1
Blake82350032,0,1,1
BlessedNft,0,1,1
BlockChain0G,0,2,2
Blockvercenews,0,1,1
