user_account,days_over_50_tweets,days_hour_ge_6_tweets,total_days_over_limit
$DJT (stock)🇺🇸 🚀,0,1,1
$Omar,0,1,1
$UFD LoVeR,0,1,1
$undefined,0,1,1
-᱾𝗅‖⎼🪐⸺🪐⎼‖𝗅᱾-,0,1,1
007cryptoqueen,2,20,22
007kic,0,1,1
00Web3Guy,0,1,1
083.BitcoinBoss,0,1,1
0Philjones,2,3,5
0Philjons,3,5,8
0f23eaf2558d414,0,1,1
0x3Kenzo,0,1,1
0xArtikal,0,1,1
0xCreed_,0,1,1
0xCroakie,0,1,1
0xCryptoVed,0,1,1
0xDecision,0,2,2
0xDepressionn,0,1,1
0xFinish,0,1,1
0xH3R0,0,1,1
0xImmortal_,0,1,1
0xNonceSense,0,1,1
0xPepesso,0,1,1
0xRekt,0,1,1
0xRevengeFlick,0,1,1
0xSpartacus__,0,1,1
0xWhiisper,0,1,1
0x_gremlin,0,1,1
0x_tonic,0,1,1
0xdantex,0,1,1
0xfiredintern,0,1,1
0xhabibidubai,0,1,1
0xnisya,0,1,1
2028cryptobull,0,1,1
3Stocksaday,0,1,1
40SevenSavage,0,1,1
420bites,0,1,1
44percenter,0,1,1
50kweek_frntrn,0,1,1
57_Win,0,1,1
5ai_smokegrass,0,1,1
7sup8brew,0,1,1
805jh1,0,1,1
@cryptadamist.universeodon.com.ap.brid.gy,0,1,1
A.Rahman H5,0,1,1
ADVIK_SIGNALS,0,2,2
AFVRO25,0,1,1
AICuriousity,0,1,1
ALICEterminal,0,1,1
ALPHA_GH0ST7,2,3,5
APEX_FUTURE1,0,1,1
ASTOfficial,0,1,1
AVGuy9,0,1,1
AY,0,1,1
AangTheAce,0,1,1
Abc925681695929,0,1,1
Abdul Saboor,0,1,1
Abijml,0,1,1
AdamSmi50430462,0,1,1
AdamoTesting,0,1,1
AdiugriP,0,1,1
AhmedSa53487929,0,1,1
AhsanArshad0007,0,1,1
Airdrop Updates,0,2,2
Albanian Trump Coin,0,1,1
Alexandra99959,0,1,1
AlexwilliamsQz6,0,1,1
Ali Umair,0,1,1
AllOfAlpha,0,1,1
AllajuneCrypto,0,4,4
Alpha Signals,0,1,1
Alpha Whales,0,2,2
AlphaMentality,0,1,1
AltcoinMage,1,1,2
AltcoinPsycho,0,1,1
Alva,0,2,2
AlyaAlFahadHQ,0,3,3
Andrew_1Blake,0,3,3
Angel_MichaelAI,0,1,1
Angelo_jonz,0,1,1
Angelojazs,0,2,2
Anna Roberts,0,1,1
AnnieTyzak,0,1,1
AntStith,0,1,1
Anthony Miller,0,1,1
Anthony Sekizkardes,0,2,2
Ape Kid🍌,0,3,3
Ape n Cult,0,1,1
ApeKideth,1,3,4
ArabmemeCaller,0,1,1
Arden Whistler,1,3,4
ArdenWhistler,0,2,2
Arsalan,0,1,1
ArtZofu,0,3,3
Asad Ullah,0,1,1
Ashkana A K,1,2,3
Aslam,0,1,1
Asm,0,1,1
AudioOfff,0,1,1
AugustKrypt,0,1,1
Auhffkq1001,0,1,1
BBC__SAM,0,1,1
BDigitalMe,0,1,1
BENLOG001 ON TELEGRAM,0,1,1
BEN_CRYPTOQ,1,5,6
BMs,0,8,8
BORIS1846693049,0,1,1
BOUNCE2_DON,0,1,1
BRFASHION10,0,1,1
BRNZ_ai,1,1,2
Bagholder,0,1,1
BagwisSteve,0,1,1
Barakkat,0,1,1
BarterBlex,0,1,1
Bastuush,0,1,1
Beatitude Obiakor,0,1,1
Beebs_jr6,0,1,1
Bellalpz 🔔🎁,0,1,1
Ben 🍀,0,1,1
BenGrahamInvest,0,1,1
